,species,countryCode,decimalLatitude,decimalLongitude,year
375,Lithobates catesbeianus,KR,35.475488,128.513367,2008.0
376,Lithobates catesbeianus,KR,35.278871,128.448986,2008.0
377,Lithobates catesbeianus,KR,36.571141,128.261977,2008.0
378,Lithobates catesbeianus,KR,35.374083,128.455762,2008.0
379,Lithobates catesbeianus,KR,36.605335,128.297644,2008.0
380,Lithobates catesbeianus,KR,35.120669,128.831176,2008.0
381,Lithobates catesbeianus,KR,35.047372,128.830983,2008.0
382,Lithobates catesbeianus,KR,35.454018,128.477621,2008.0
383,Lithobates catesbeianus,KR,35.10306,128.794402,2008.0
384,Lithobates catesbeianus,KR,35.191467,128.829231,2008.0
385,Lithobates catesbeianus,KR,35.452796,128.412515,2008.0
386,Lithobates catesbeianus,KR,35.321421,128.349105,2008.0
387,Lithobates catesbeianus,KR,35.275038,128.368437,2008.0
388,Lithobates catesbeianus,KR,35.134752,128.964248,2008.0
389,Lithobates catesbeianus,KR,36.603088,128.163341,2008.0
390,Lithobates catesbeianus,KR,35.274509,128.252059,2008.0
391,Lithobates catesbeianus,KR,35.444608,128.14361,2008.0
392,Lithobates catesbeianus,KR,35.628921,129.363347,2007.0
393,Lithobates catesbeianus,KR,35.511878,129.256774,2007.0
394,Lithobates catesbeianus,KR,37.63197,126.245843,2007.0
395,Lithobates catesbeianus,KR,37.5128,126.542384,2007.0
396,Lithobates catesbeianus,KR,36.521048,126.677945,2007.0
397,Lithobates catesbeianus,KR,35.319472,126.96189,2007.0
398,Lithobates catesbeianus,KR,35.368527,126.968809,2007.0
399,Lithobates catesbeianus,KR,35.342467,127.143877,2007.0
400,Lithobates catesbeianus,KR,35.289557,127.182541,2007.0
401,Lithobates catesbeianus,KR,35.453678,127.373828,2007.0
402,Lithobates catesbeianus,KR,35.415126,127.172152,2007.0
403,Lithobates catesbeianus,KR,35.357245,127.369635,2007.0
404,Lithobates catesbeianus,KR,35.469115,126.723335,2007.0
405,Lithobates catesbeianus,KR,35.435701,126.48739,2007.0
406,Lithobates catesbeianus,KR,35.325727,126.555221,2007.0
